,description,name,relationship,text
0,"hi I'm amy. short for amy the biggest V trash in the universe, who also loves V the most. yes of course that's my legal name",septicdestiel,0,"omg I remember people fighting in the comments of a Taylor Swift lyric video about if it's spelled ""swifty"" or ""swiftie"""
1,This is the twitter for the amazing Idol Hands music school!!! Tune in and stay in touch,IdolHandsMusic,0,Taylor Swift is getting her own TV channel https://t.co/Khym2gI2hQ https://t.co/yo7mcReT6D
2,In the real world I work with Beautiful women on here I show some beautiful women. Follow if you just want to have fun.,nycphotocorp,1,RT @NudeCelebGifs: @VanityFair @realDonaldTrump Donald turmp loves to see Taylor Swift nipples and pokies! https://t.co/YWVnWiSQnP [NSFW] #?
3,but people like me are gone forever when you say goodbye - ts ?,Sprawntreneus,1,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
4,,Lucy736694411,0,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
5,Camila ?? XOXO #taylorswift #1989,xvlOG,0,"RT @damakarova39801: Taylor Swift Street Style - Out in NYC, December 2015 https://t.co/mhKfzIWPpW #TaylorSwift"
6,not dead,plnvdnz,0,i'm listening to the entirety of taylor swift's discography and quite honestly i am having emotions
7,Camila ?? XOXO #taylorswift #1989,xvlOG,0,RT @lyudavydova2097: Taylor Swift in a Mini Dress Out in New York https://t.co/4TWGAVjU3W #TaylorSwift
8,"i really crazy about TAYLOR SWIFT ;) 13th/Feb./2011 Speak now tour @Osaka  im SWIFTIE x) u say Shut up,we'll say Speak now!!!",taylorsmift13,1,Sang m played the guitar.FIFTEEN/Taylor swift.https://t.co/N64cdXoYJe
9,"Snapchat:Musa Jiddum 
Instagram:@musajiddum",MusaJiddum,0,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
10,HISSING is the NATIONAL ANTHEM we *SSS* proudly!!!,bamsbouncef,1,"RT @BaddieSteefin: Taylor Swift breathes 
Stan twitter :
https://t.co/z4nT8Z1tRa"
11,Born in 1993,Khunchai_ch,1,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
12,????????????????????????? | ??????????? ???????????????,pickymelo,0,"RT @ThaiSwifties: ""??????????????????? ?????????????????????? ????????????????????????????????????????????"" - Taylor Swift http://t.co/Dazh?"
13,Are you a sea lion? bc I sea u lion in my bed later  sc: samswizzle831,Toucansam831,0,RT @yuritzib_19: Taylor swift shouldn't be allowed to dance https://t.co/OIMY0gp2y2
14,"wife, mom, student, artist in training.",_AHock,0,"RT @Forbes: World's highest-paid musicians:

1. Taylor Swift $170M
2. One Direction $110M
3. Adele $80.5M
4. Madonna $76.5M

https://t.co/O?"
15,"Feline Musketeer. Scourge of Dogs. Swiftie, Disciple of the Lord",Taylor2Cities,1,"RT @SlayerSwift13: Christina Tosi, owner of Momofuku Milk Bar?s and how excited she was that their cake was gifted to Taylor Swift https://?"
16,Please support Kim Taehyung's debut in his upcoming drama 'Hwarang: The Beginning' on the 19th of December!,taeandguk,0,@taeandguk TAELOR SWIFT  I MEANT TAYLOR NOT TAE AS IN TAEHYUNG TAYLOR. LIKE TAYLOR NOT TAE
17,Let's do something fun | #GoCoogs,eddy_321,0,I need to listen to shake it off by taylor swift cause that's how I passed my test last time lol
18,"Visit https://t.co/yn6SdNMEg9 for all of the latest red carpet photos of the stars YOU care about, plus tons of fun fashion & beauty features! IG + SC: twistmag",twistmag,1,RT @m_magazine: .@todrick &amp; @taylorswift13's Little Mermaid duet is giving us so much life. ? ? Witness the magic &gt;&gt; https://t.co/noQKh3hyg?
19,"?RUSHER & SWIFTIE? ||
BIG TIME RUSH? ||
TAYLOR SWIFT? ||
Facebook:Gaby's Schmidt Maslow ||
Instagram: Gabriela_Gg22 ||
Despiesta con un nuevo prop?sito
?UAEMex?",anagaby_Gg,1,RT @billboard: Are you ready? Taylor Swift fans have a new destination for never before seen content. #BillboardNews https://t.co/WH6aRTOgQu
20,,escudero_riera,0,Taylor Swift - Shake It Off https://t.co/RZhttIsTnc
